,ovro_name,cgrabs_name,3FGL_name,Clean_3lac,3LAC,flux_int,n_flux,n_uplim,4FGL_name,4FGLDR2_RAJ2000,4FGLDR2_DEJ2000,4FGLDR2_ROI_num
61,CR1059-1134,,3FGL J1059.2-1133,Y,Y,3.204008,47,1,4FGL J1059.2-1134 ,164.80630493164062,-11.571999549865723,430
62,C1454+5124,,3FGL J1454.5+5124,Y,Y,2.851202,47,1,4FGL J1454.4+5124 ,223.625,51.409000396728516,791
63,C1239+0443,,3FGL J1239.5+0443,Y,Y,11.174667,47,1,4FGL J1239.5+0443 ,189.88540649414062,4.728400230407715,326
64,C1224+2122,,3FGL J1224.9+2122,Y,Y,47.944462,47,1,4FGL J1224.9+2122 ,186.2277069091797,21.381399154663086,1140
65,C0719+3307,,3FGL J0719.3+3307,Y,Y,7.540275,47,1,4FGL J0719.3+3307 ,109.83999633789062,33.123199462890625,1149
66,BL0647+250,,3FGL J0650.7+2503,Y,Y,1.053887,47,1,4FGL J0650.7+2503 ,102.69860076904297,25.054800033569336,1496
67,BBJ1309+4305,,3FGL J1309.3+4304,Y,Y,1.710313,47,1,4FGL J1309.4+4305 ,197.3625946044922,43.084999084472656,922
68,2230+114,,3FGL J2232.5+1143,Y,Y,15.976745,47,1,4FGL J2232.6+1143 ,338.1524963378906,11.730600357055664,317
69,1ES1218+304,,3FGL J1221.3+3010,Y,Y,0.740598,47,1,4FGL J1221.3+3010 ,185.3448944091797,30.167699813842773,950
70,1ES0806+524,,3FGL J0809.8+5218,Y,Y,3.838946,47,1,4FGL J0809.8+5218 ,122.46170043945312,52.314300537109375,1300
71,SDSSJ141826.,,3FGL J1418.4-0233,Y,Y,0.836594,46,2,4FGL J1418.4-0233 ,214.60580444335938,-2.5594000816345215,663
72,RBS76,,3FGL J0033.6-1921,Y,Y,1.540053,46,2,4FGL J0033.5-1921 ,8.395400047302246,-19.35930061340332,1076
