MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1140047052440,16.71,0.08,170.20027,42.20346,55272.22118,0
1140047052440,16.71,0.08,170.20025,42.20349,55272.22634,0
1140047052440,16.69,0.07,170.20034,42.20345,55272.23147,0
1140047052440,16.67,0.08,170.20021,42.20343,55272.23657,0
1140047052440,16.48,0.08,170.20025,42.20347,55322.24905,0
1140047052440,16.54,0.08,170.20024,42.20358,55322.25456,0
1140047052440,16.52,0.08,170.20027,42.20350,55322.26012,0
1140047052440,16.58,0.08,170.20024,42.20362,55322.26572,0
1140047052440,16.48,0.07,170.20042,42.20359,55337.22343,0
1140047052440,16.51,0.07,170.20030,42.20355,55337.23204,0
1140047052440,16.43,0.07,170.20041,42.20356,55337.23955,0
1140047052440,16.55,0.07,170.20006,42.20364,55337.25043,0
1140047052440,16.11,0.06,170.20027,42.20348,55602.32409,0
1140047052440,16.11,0.06,170.20018,42.20347,55602.33100,0
1140047052440,16.12,0.06,170.20024,42.20347,55602.33795,0
1140047052440,16.13,0.06,170.20029,42.20347,55602.34490,0
1140047052440,16.19,0.07,170.20028,42.20358,55577.35364,0
1140047052440,16.16,0.07,170.20024,42.20355,55723.20475,0
1140047052440,16.10,0.07,170.20035,42.20351,55723.21159,0
1140047052440,16.17,0.07,170.20029,42.20356,55723.21848,0
1140047052440,16.18,0.07,170.20032,42.20359,55723.22531,0
1140047052440,16.15,0.07,170.20030,42.20360,55626.37373,0
1140047052440,16.13,0.07,170.20035,42.20356,55626.37951,0
1140047052440,16.04,0.07,170.20033,42.20345,55626.38529,0
1140047052440,16.16,0.07,170.20017,42.20363,55626.39115,0
1140047052440,16.13,0.07,170.20025,42.20355,55632.34953,0
1140047052440,16.14,0.07,170.20030,42.20352,55632.35417,0
1140047052440,16.14,0.07,170.20020,42.20351,55632.35879,0
1140047052440,16.11,0.07,170.20024,42.20352,55632.36342,0
1140047052440,16.14,0.07,170.20021,42.20355,55685.19142,0
1140047052440,16.14,0.08,170.20018,42.20372,55685.19589,0
1140047052440,16.18,0.08,170.20020,42.20369,55685.20036,0
1140047052440,16.16,0.08,170.20027,42.20353,55685.20486,0
1140047052440,16.32,0.07,170.20020,42.20345,55882.46660,0
1140047052440,16.33,0.07,170.20020,42.20349,55882.47180,0
1140047052440,16.29,0.07,170.20025,42.20353,55882.47695,0
1140047052440,16.33,0.07,170.20027,42.20352,55882.48215,0
1140047052440,16.47,0.07,170.20019,42.20348,55927.39190,0
1140047052440,16.50,0.07,170.20024,42.20347,55927.39877,0
1140047052440,16.44,0.07,170.20028,42.20349,55927.40563,0
1140047052440,16.47,0.07,170.20035,42.20348,55927.41252,0
1140047052440,16.52,0.07,170.20018,42.20342,55959.24622,0
1140047052440,16.56,0.07,170.20029,42.20350,55959.25192,0
1140047052440,16.48,0.07,170.20030,42.20346,55959.25767,0
1140047052440,16.54,0.07,170.20019,42.20350,55959.26338,0
1140047052440,16.52,0.07,170.20021,42.20346,55976.26780,0
1140047052440,16.51,0.07,170.20026,42.20342,55976.27631,0
1140047052440,16.53,0.07,170.20031,42.20347,55976.28470,0
1140047052440,16.52,0.07,170.20014,42.20343,55976.29314,0
1140047052440,16.44,0.07,170.20029,42.20351,55983.39184,0
1140047052440,16.52,0.07,170.20035,42.20350,55983.39751,0
1140047052440,16.46,0.07,170.20009,42.20344,55983.40320,0
1140047052440,16.49,0.07,170.20032,42.20351,55983.40892,0
1140047052440,16.48,0.07,170.20032,42.20352,55989.19463,0
1140047052440,16.46,0.07,170.20020,42.20352,55989.19975,0
1140047052440,16.44,0.07,170.20025,42.20351,55989.20488,0
1140047052440,16.48,0.07,170.20027,42.20353,55989.20997,0
1140047052440,16.31,0.07,170.20024,42.20347,56009.29457,0
1140047052440,16.29,0.07,170.20029,42.20350,56009.30093,0
1140047052440,16.26,0.07,170.20016,42.20343,56009.30730,0
1140047052440,16.27,0.07,170.20032,42.20344,56009.31362,0
1140047052440,16.25,0.07,170.20025,42.20345,56018.17539,0
1140047052440,16.25,0.07,170.20019,42.20341,56018.18336,0
1140047052440,16.24,0.07,170.20029,42.20343,56018.19132,0
1140047052440,16.28,0.07,170.20024,42.20342,56018.19922,0
1140047052440,16.31,0.07,170.20037,42.20349,56039.29478,0
1140047052440,16.30,0.07,170.20025,42.20349,56039.30160,0
1140047052440,16.31,0.07,170.20030,42.20349,56039.30837,0
1140047052440,16.31,0.07,170.20027,42.20349,56039.31513,0
1140047052440,16.36,0.07,170.20032,42.20347,56066.28648,0
1140047052440,16.37,0.07,170.20036,42.20346,56066.29323,0
1140047052440,16.32,0.07,170.20036,42.20351,56066.29996,0
1140047052440,16.36,0.07,170.20032,42.20351,56066.30674,0
1140047052440,16.26,0.07,170.20017,42.20351,56089.18084,0
1140047052440,16.28,0.07,170.20027,42.20353,56089.18683,0
1140047052440,16.31,0.07,170.20033,42.20347,56089.19286,0
1140047052440,16.29,0.07,170.20025,42.20351,56089.19897,0
1140047052440,16.27,0.07,170.20022,42.20353,56265.47272,0
1140047052440,16.29,0.07,170.20022,42.20355,56265.48152,0
1140047052440,16.30,0.07,170.20020,42.20349,56265.48662,0
1140047052440,16.35,0.07,170.20022,42.20354,56265.49171,0
1140047052440,16.17,0.07,170.20026,42.20349,56302.40268,0
1140047052440,16.31,0.07,170.20022,42.20347,56302.40775,0
1140047052440,16.28,0.07,170.20027,42.20350,56302.41293,0
